date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:47	113705/113705	---M--	200	added ('OK')	image/jpeg	etag:%221bc29-608150c6-3281769f1bbe7d12;;;%22	https://comfycool.in/images/portfolio/01.jpg	D:/comfycool/comfycool.in/images/portfolio/01.jpg	(from https://comfycool.in/)
14:45:47	106538/106538	---M--	200	added ('OK')	image/jpeg	etag:%221a02a-6082943e-de273f4cc0d7c58;;;%22	https://comfycool.in/images/portfolio/02.jpg	D:/comfycool/comfycool.in/images/portfolio/02.jpg	(from https://comfycool.in/)
14:45:47	64596/64596	---M--	200	added ('OK')	image/jpeg	etag:%22fc54-608260f2-7b9cc2d9ef5e373d;;;%22	https://comfycool.in/images/portfolio/03.jpg	D:/comfycool/comfycool.in/images/portfolio/03.jpg	(from https://comfycool.in/)
14:45:47	53066/53066	---M--	200	added ('OK')	image/jpeg	etag:%22cf4a-60829e14-c6d3f27fe2403542;;;%22	https://comfycool.in/images/portfolio/04.jpg	D:/comfycool/comfycool.in/images/portfolio/04.jpg	(from https://comfycool.in/)
14:45:48	97650/97650	---M--	200	added ('OK')	image/jpeg	etag:%2217d72-60815a70-d1d8feba060f6df4;;;%22	https://comfycool.in/images/portfolio/05.jpg	D:/comfycool/comfycool.in/images/portfolio/05.jpg	(from https://comfycool.in/)
14:45:48	69963/69963	---M--	200	added ('OK')	image/jpeg	etag:%221114b-60815ab6-39c3e9c32c638111;;;%22	https://comfycool.in/images/portfolio/06.jpg	D:/comfycool/comfycool.in/images/portfolio/06.jpg	(from https://comfycool.in/)
14:45:48	11494/11494	---M--	200	added ('OK')	image/jpeg	etag:%222ce6-6082b26a-73e5b22f45e0ff5a;;;%22	https://comfycool.in/images/step-one.jpg	D:/comfycool/comfycool.in/images/step-one.jpg	(from https://comfycool.in/)
14:45:48	17374/17374	---M--	200	added ('OK')	image/jpeg	etag:%2243de-6082b3a4-4a169a6fc1637e65;;;%22	https://comfycool.in/images/step-two.jpg	D:/comfycool/comfycool.in/images/step-two.jpg	(from https://comfycool.in/)
14:45:48	15511/15511	---M--	200	added ('OK')	image/jpeg	etag:%223c97-602b6f80-d768dd5369b1e79b;;;%22	https://comfycool.in/images/step-three.jpg	D:/comfycool/comfycool.in/images/step-three.jpg	(from https://comfycool.in/)
14:45:49	12346/12346	---M--	200	added ('OK')	image/jpeg	etag:%22303a-602b6f80-b6437c2657c4db97;;;%22	https://comfycool.in/images/step-four.jpg	D:/comfycool/comfycool.in/images/step-four.jpg	(from https://comfycool.in/)
14:45:49	62319/62319	---M--	200	added ('OK')	image/jpeg	etag:%22f36f-602b6f7e-5f9413c2738c6664;;;%22	https://comfycool.in/images/single-img-twel.jpg	D:/comfycool/comfycool.in/images/single-img-twel.jpg	(from https://comfycool.in/)
14:45:49	8698/8698	---M--	200	added ('OK')	image/jpeg	etag:%2221fa-608022a8-daed49224d05da71;;;%22	https://comfycool.in/images/testimonial/01.jpg	D:/comfycool/comfycool.in/images/testimonial/01.jpg	(from https://comfycool.in/)
14:45:49	8588/8588	---M--	200	added ('OK')	image/jpeg	etag:%22218c-60801bfe-4e1085a62d71d6c4;;;%22	https://comfycool.in/images/testimonial/02.jpg	D:/comfycool/comfycool.in/images/testimonial/02.jpg	(from https://comfycool.in/)
14:45:50	5791/5791	---M--	200	added ('OK')	image/jpeg	etag:%22169f-60801cf6-65587ad63b4131bc;;;%22	https://comfycool.in/images/testimonial/03.jpg	D:/comfycool/comfycool.in/images/testimonial/03.jpg	(from https://comfycool.in/)
14:45:50	5190/5190	---M--	200	added ('OK')	image/png	etag:%221446-6087f451-f3b808f7565f6116;;;%22	https://comfycool.in/images/footer-logo.png	D:/comfycool/comfycool.in/images/footer-logo.png	(from https://comfycool.in/)
14:45:50	3531/3531	---M--	200	added ('OK')	image/jpeg	etag:%22dcb-60829620-b62b3a11777bccea;;;%22	https://comfycool.in/images/flicker/01.jpg	D:/comfycool/comfycool.in/images/flicker/01.jpg	(from https://comfycool.in/)
14:45:50	2972/2972	---M--	200	added ('OK')	image/jpeg	etag:%22b9c-6082963a-6e648daeb5fd6024;;;%22	https://comfycool.in/images/flicker/02.jpg	D:/comfycool/comfycool.in/images/flicker/02.jpg	(from https://comfycool.in/)
14:45:50	3047/3047	---M--	200	added ('OK')	image/jpeg	etag:%22be7-60829a9c-13a0e7c17bf39ce0;;;%22	https://comfycool.in/images/flicker/03.jpg	D:/comfycool/comfycool.in/images/flicker/03.jpg	(from https://comfycool.in/)
14:45:51	4742/4742	---M--	200	added ('OK')	image/jpeg	etag:%221286-602b6fb6-285246ad0a55e7c6;;;%22	https://comfycool.in/images/flicker/04.jpg	D:/comfycool/comfycool.in/images/flicker/04.jpg	(from https://comfycool.in/)
14:45:51	3026/3026	---M--	200	added ('OK')	image/jpeg	etag:%22bd2-60829ac4-ec64c7968197a566;;;%22	https://comfycool.in/images/flicker/05.jpg	D:/comfycool/comfycool.in/images/flicker/05.jpg	(from https://comfycool.in/)
14:45:51	2233/2233	---M--	200	added ('OK')	image/jpeg	etag:%228b9-60829d1a-279aacbc71b3b445;;;%22	https://comfycool.in/images/flicker/06.jpg	D:/comfycool/comfycool.in/images/flicker/06.jpg	(from https://comfycool.in/)
14:45:51	2627/2627	---M--	200	added ('OK')	image/jpeg	etag:%22a43-60829bb2-182033a3e6728e98;;;%22	https://comfycool.in/images/flicker/07.jpg	D:/comfycool/comfycool.in/images/flicker/07.jpg	(from https://comfycool.in/)
14:45:51	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%22bfa-60829bf8-d199611f343d30c3;;;%22	https://comfycool.in/images/flicker/08.jpg	D:/comfycool/comfycool.in/images/flicker/08.jpg	(from https://comfycool.in/)
14:45:52	3963/3963	---M--	200	added ('OK')	image/jpeg	etag:%22f7b-60829af6-4e0d4bbdd0e4c3e;;;%22	https://comfycool.in/images/flicker/09.jpg	D:/comfycool/comfycool.in/images/flicker/09.jpg	(from https://comfycool.in/)
14:45:52	97166/97166	---M-Z	200	added ('OK')	application/javascript	etag:%2217b8e-602b6f88-134908fc7ee16bf4;gz%22	https://comfycool.in/js/jquery.min.js	D:/comfycool/comfycool.in/js/jquery.min.js	(from https://comfycool.in/)
14:45:52	24632/24632	---M-Z	200	added ('OK')	application/javascript	etag:%226038-602b6f8a-fedf8af059e05578;gz%22	https://comfycool.in/js/tether.min.js	D:/comfycool/comfycool.in/js/tether.min.js	(from https://comfycool.in/)
